ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
USDCNH.FXCM,20150218,6.27481,6.2723,6.28361,6.27068,6.27745,6.2753,6.28572,6.27448,12849
USDCNH.FXCM,20150219,6.2723,6.2764,6.2787,6.27136,6.2753,6.2792,6.2819,6.2741,9507
USDCNH.FXCM,20150220,6.2764,6.27516,6.28159,6.2729,6.2792,6.28037,6.28569,6.27576,13071
USDCNH.FXCM,20150222,6.27516,6.27404,6.27456,6.274,6.28037,6.28183,6.28196,6.28182,107
USDCNH.FXCM,20150223,6.27404,6.27176,6.27845,6.27111,6.28183,6.27441,6.28234,6.27398,7913
USDCNH.FXCM,20150224,6.27176,6.2617,6.27651,6.26105,6.27441,6.2647,6.27879,6.26337,10806
USDCNH.FXCM,20150225,6.2617,6.26928,6.27267,6.2607,6.2647,6.27248,6.27539,6.26387,12621
USDCNH.FXCM,20150226,6.26928,6.27713,6.27922,6.2638,6.27248,6.27977,6.2816,6.266,13835
USDCNH.FXCM,20150227,6.27713,6.28582,6.29253,6.27514,6.27977,6.29103,6.29481,6.27806,18394
USDCNH.FXCM,20150301,6.28582,6.29211,6.29414,6.29108,6.29103,6.29591,6.29916,6.294,78
USDCNH.FXCM,20150302,6.29211,6.28888,6.30207,6.2826,6.29591,6.2919,6.30227,6.28291,17901
USDCNH.FXCM,20150303,6.28888,6.2852,6.29068,6.28094,6.2919,6.2885,6.29302,6.28314,17401
USDCNH.FXCM,20150304,6.2852,6.28588,6.28745,6.2751,6.2885,6.2889,6.29023,6.2773,16029
USDCNH.FXCM,20150305,6.28588,6.27361,6.29109,6.27181,6.2889,6.27663,6.29344,6.27413,19802
USDCNH.FXCM,20150306,6.27361,6.28122,6.28443,6.26651,6.27663,6.28832,6.28832,6.27176,14057
USDCNH.FXCM,20150308,6.28122,6.27349,6.2763,6.27,6.28832,6.27929,6.28272,6.27739,60
USDCNH.FXCM,20150309,6.27349,6.27172,6.28216,6.27047,6.27929,6.27474,6.28516,6.2728,12544
USDCNH.FXCM,20150310,6.27172,6.28222,6.28285,6.2696,6.27474,6.28524,6.28524,6.2719,16233
USDCNH.FXCM,20150311,6.28222,6.2774,6.2823,6.27158,6.28524,6.2805,6.28574,6.27378,18046
USDCNH.FXCM,20150312,6.2774,6.2738,6.28038,6.26633,6.2805,6.2771,6.28294,6.26901,20618
USDCNH.FXCM,20150313,6.2738,6.28256,6.28886,6.26812,6.2771,6.28966,6.2912,6.27032,20016
USDCNH.FXCM,20150315,6.28256,6.28122,6.28142,6.2812,6.28966,6.2861,6.2888,6.28608,89
USDCNH.FXCM,20150316,6.28122,6.26841,6.2829,6.26287,6.2861,6.27177,6.28618,6.26545,17646
USDCNH.FXCM,20150317,6.26841,6.24592,6.26943,6.24201,6.27177,6.24894,6.27229,6.24429,25664
USDCNH.FXCM,20150318,6.24592,6.2216,6.24674,6.21977,6.24894,6.2249,6.25024,6.2225,22993
USDCNH.FXCM,20150319,6.2216,6.21474,6.22555,6.19961,6.2249,6.21776,6.22875,6.20193,34590
USDCNH.FXCM,20150320,6.21474,6.19956,6.22198,6.19551,6.21776,6.20666,6.22453,6.19771,33841
USDCNH.FXCM,20150322,6.19956,6.19889,6.19894,6.19886,6.20666,6.20477,6.20482,6.20474,53
USDCNH.FXCM,20150323,6.19889,6.2031,6.215,6.19281,6.20477,6.2062,6.21785,6.19521,25295
USDCNH.FXCM,20150324,6.2031,6.2088,6.21589,6.1994,6.2062,6.2119,6.2184,6.20423,24434
USDCNH.FXCM,20150325,6.2088,6.21012,6.21597,6.20583,6.2119,6.21348,6.2182,6.20806,16315
USDCNH.FXCM,20150326,6.21012,6.21471,6.21655,6.2084,6.21348,6.21784,6.21912,6.2107,15534
USDCNH.FXCM,20150327,6.21471,6.20804,6.2238,6.20804,6.21784,6.21514,6.226,6.21185,18523
USDCNH.FXCM,20150329,6.20804,6.20909,6.2092,6.20904,6.21514,6.21583,6.21583,6.21568,52
USDCNH.FXCM,20150330,6.20909,6.20661,6.21585,6.20448,6.21583,6.2099,6.2181,6.20712,18039
USDCNH.FXCM,20150331,6.20661,6.20427,6.2088,6.20098,6.2099,6.20709,6.21196,6.20326,19271
