date,close,unit_nav,premium
2022-01-13,1.274,1.2467,0.021897810218978186
2022-01-14,1.251,1.2532,-0.001755505904883714
2022-01-17,1.252,1.2534,-0.00111696186373067
2022-01-18,1.241,1.2217,0.015797658999754605
2022-01-19,1.215,1.209,0.00496277915632759
2022-01-20,1.22,1.191,0.02434928631402178
2022-01-21,1.182,1.1578,0.020901710139920482
2022-01-24,1.168,1.1619,0.005250021516481684
2022-01-25,1.145,1.1325,0.011037527593819041
2022-01-26,1.139,1.1333,0.005029559692932173
2022-01-27,1.116,1.1261,-0.00896900808098744
2022-01-28,1.141,1.163,-0.018916595012897663
2022-02-07,1.183,1.1712,0.010075136612021973
2022-02-08,1.171,1.1879,-0.014226786766562749
2022-02-09,1.192,1.2112,-0.01585204755614278
2022-02-10,1.207,1.1822,0.020977837929284426
2022-02-11,1.175,1.1464,0.024947662247034152
2022-02-14,1.15,1.1471,0.002528114375381252
2022-02-15,1.149,1.1742,-0.021461420541645237
2022-02-16,1.171,1.1702,0.0006836438215691576
2022-02-17,1.163,1.1354,0.0243086137044215
2022-02-18,1.142,1.1211,0.01864240478101853
2022-02-21,1.14,1.122,0.016042780748662944
2022-02-22,1.101,1.1115,-0.009446693657219951
2022-02-23,1.118,1.08,0.03518518518518521
2022-02-24,1.058,1.1166,-0.052480745119111605
2022-02-25,1.105,1.1328,-0.0245409604519774
2022-02-28,1.106,1.136,-0.02640845070422515
2022-03-01,1.134,1.1179,0.01440200375704448
2022-03-02,1.119,1.1367,-0.015571390868303059
2022-03-03,1.135,1.1214,0.012127697520956104
2022-03-04,1.117,1.1059,0.010037073876480562
2022-03-07,1.09,1.064,0.024436090225564033
2022-03-08,1.053,1.0596,-0.006228765571914097
2022-03-09,1.067,1.0975,-0.02779043280182225
2022-03-10,1.094,1.086,0.007366482504604033
2022-03-11,1.087,1.0628,0.022770041400075325
2022-03-14,1.072,1.049,0.0219256434699715
2022-03-15,1.052,1.0853,-0.030682760527043107
2022-03-16,1.093,1.1199,-0.024020001785873712
2022-03-17,1.123,1.1328,-0.008651129943502811
2022-03-18,1.125,1.1596,-0.029837875129354874
2022-03-21,1.152,1.1563,-0.0037187581077576803
2022-03-22,1.15,1.1782,-0.023934815820743527
2022-03-23,1.179,1.1643,0.01262561195568157
2022-03-24,1.169,1.1887,-0.016572726507949942
2022-03-25,1.189,1.1866,0.0020225855385134217
2022-03-28,1.182,1.2072,-0.020874751491053778
2022-03-29,1.209,1.227,-0.014669926650366705
2022-03-30,1.221,1.2105,0.00867410161090465
2022-03-31,1.214,1.1897,0.020425317306884017
2022-04-01,1.202,1.1943,0.006447291300343272
2022-04-06,1.195,1.1662,0.024695592522723464
2022-04-07,1.17,1.1686,0.001198014718466478
2022-04-08,1.177,1.152,0.02170138888888906
2022-04-11,1.146,1.1262,0.01758124667021832
2022-04-12,1.129,1.1219,0.006328549781620563
2022-04-13,1.132,1.1436,-0.010143406785589448
2022-04-14,1.15,1.1181,0.028530542885251586
