日期,纳指ETF,红利低波ETF,中证500ETF,黄金ETF,国债ETF
2015-07-10,0.2771,0.5033,6.0921,2.3010,103.4619
2015-07-17,0.2949,0.5122,6.6274,2.2990,104.9726
2015-07-24,0.2995,0.5146,6.9579,2.1860,104.4294
2015-07-31,0.3051,0.4721,6.3681,2.1670,104.5618
2015-08-07,0.2993,0.4833,6.6492,2.1870,105.0538
2015-08-14,0.3103,0.5049,7.1282,2.2990,104.7339
2015-08-21,0.2973,0.4501,6.3094,2.3900,104.1105
2015-08-28,0.2959,0.4207,5.6323,2.3330,104.9021
2015-09-02,0.2853,0.4255,4.8941,2.3510,105.4656
2015-09-11,0.2931,0.4214,5.3538,2.2870,104.5947
2015-09-18,0.2957,0.4082,4.9897,2.3180,104.7339
2015-09-25,0.2899,0.4048,4.9855,2.3590,104.6566
2015-09-30,0.2787,0.4022,5.0786,2.3140,105.0557
2015-10-09,0.2899,0.4173,5.3588,2.3500,105.2194
2015-10-16,0.2967,0.4390,5.8740,2.4020,105.3716
2015-10-23,0.3061,0.4422,5.9755,2.4030,105.8818
2015-10-30,0.3137,0.4384,5.9168,2.3510,106.1412
2015-11-06,0.3147,0.4620,6.2884,2.2820,105.5725
2015-11-13,0.3085,0.4584,6.3807,2.2300,105.3589
2015-11-20,0.3161,0.4669,6.6030,2.2340,105.3784
2015-11-27,0.3167,0.4445,6.2339,2.2060,105.7881
2015-12-04,0.3143,0.4595,6.2985,2.2000,105.9569
2015-12-11,0.3169,0.4491,6.1340,2.2300,106.0964
2015-12-18,0.3169,0.4652,6.4889,2.2170,106.4290
2015-12-25,0.3161,0.4763,6.5837,2.2500,106.9168
2015-12-31,0.3233,0.4625,6.4268,2.2320,107.1558
2016-01-08,0.3071,0.4300,5.5166,2.3380,107.1607
2016-01-15,0.2959,0.3977,4.9477,2.3040,107.5879
2016-01-22,0.2911,0.3960,5.0274,2.3350,107.4162
2016-01-29,0.2915,0.3774,4.5853,2.3630,107.1177
2016-02-05,0.2961,0.3794,4.7699,2.4510,107.2143
2016-02-19,0.2891,0.3878,5.0258,2.5740,107.4426
2016-02-26,0.2943,0.3785,4.7514,2.6120,107.6601
2016-03-04,0.3015,0.3963,4.6910,2.6510,107.7313
2016-03-11,0.2963,0.3900,4.6306,2.6510,108.2210
2016-03-18,0.3027,0.4046,5.0493,2.6170,108.1059
2016-03-25,0.3031,0.4048,5.1407,2.5490,108.5898
2016-04-01,0.3053,0.4105,5.1927,2.5640,109.0063
2016-04-08,0.3071,0.4071,5.2330,2.5700,108.7898
2016-04-15,0.3107,0.4158,5.4192,2.5620,108.4230
2016-04-22,0.3093,0.4063,5.0811,2.5920,107.9167
2016-04-29,0.3009,0.4069,5.0610,2.6600,107.9791
2016-05-06,0.2987,0.4038,5.0526,2.6800,108.0220
2016-05-13,0.2995,0.4015,4.8227,2.6820,108.5791
2016-05-20,0.3003,0.3997,4.8563,2.6380,108.2630
2016-05-27,0.3105,0.4011,4.8622,2.5800,108.1811
2016-06-03,0.3141,0.4134,5.1357,2.5740,108.0435
2016-06-08,0.3119,0.4111,5.1281,2.6460,108.1820
2016-06-17,0.3099,0.4076,5.0786,2.7150,108.5000
2016-06-24,0.3059,0.4045,5.0157,2.8050,108.6952
2016-07-01,0.3099,0.4136,5.2103,2.8580,109.1117
2016-07-08,0.3133,0.4169,5.3773,2.9160,109.2561
2016-07-15,0.3241,0.4308,5.5065,2.8750,109.2834
2016-07-22,0.3273,0.4268,5.4637,2.8440,109.4921
2016-07-29,0.3329,0.4375,5.2875,2.8590,109.6677
2016-08-05,0.3335,0.4392,5.2917,2.9180,109.9584
2016-08-12,0.3403,0.4530,5.3807,2.8700,110.2687
2016-08-19,0.3381,0.4596,5.5375,2.8770,110.0833
2016-08-26,0.3397,0.4538,5.4813,2.8410,110.0462
2016-09-02,0.3387,0.4551,5.4176,2.8210,109.8931
2016-09-09,0.3429,0.4563,5.5208,2.8720,110.0053
2016-09-14,0.3343,0.4447,5.3546,2.8430,110.0228
2016-09-23,0.3545,0.4523,5.4478,2.8620,110.1097
2016-09-30,0.3413,0.4516,5.4167,2.8430,110.3867
2016-10-14,0.3467,0.4584,5.5325,2.7240,110.5428
2016-10-21,0.3455,0.4639,5.5426,2.7510,110.9769
2016-10-28,0.3473,0.4619,5.5292,2.7750,110.7447
2016-11-04,0.3411,0.4618,5.5216,2.8040,110.8296
2016-11-11,0.3417,0.4663,5.6399,2.7690,110.6911
2016-11-18,0.3517,0.4689,5.6525,2.6870,109.7468
2016-11-25,0.3599,0.4862,5.6852,2.6620,109.5478
2016-12-02,0.3509,0.4881,5.5736,2.6380,108.9693
2016-12-09,0.3567,0.4860,5.5677,2.6430,108.8025
2016-12-16,0.3635,0.4669,5.3890,2.6020,105.9842
2016-12-23,0.3671,0.4625,5.3664,2.5830,107.1870
2016-12-30,0.3633,0.4629,5.3488,2.6360,108.0084
2017-01-06,0.3623,0.4694,5.4360,2.6330,107.9050
2017-01-13,0.3673,0.4666,5.2850,2.6620,108.0425
2017-01-20,0.3665,0.4741,5.2296,2.6680,108.1664
2017-01-26,0.3761,0.4777,5.3161,2.6410,108.1615
2017-02-03,0.3735,0.4744,5.2984,2.6740,108.1137
2017-02-10,0.3825,0.4817,5.4125,2.7120,107.5987
2017-02-17,0.3861,0.4819,5.3840,2.7370,108.0689
2017-02-24,0.3913,0.4908,5.5359,2.7750,108.2084
2017-03-03,0.3954,0.4871,5.5115,2.7370,108.3020
2017-03-10,0.3988,0.4843,5.5090,2.6900,107.8923
2017-03-17,0.4066,0.4872,5.5325,2.7540,108.1879
2017-03-24,0.3909,0.4953,5.6021,2.7730,108.3147
2017-03-31,0.4012,0.4962,5.4612,2.7610,108.1098
2017-04-07,0.3925,0.5085,5.6139,2.8190,108.2250
2017-04-14,0.3869,0.5107,5.5837,2.8590,108.2240
2017-04-21,0.3935,0.5086,5.3899,2.8270,107.5743
2017-04-28,0.4036,0.5069,5.3051,2.8120,107.2963
2017-05-05,0.4052,0.4985,5.2070,2.7470,106.7929
2017-05-12,0.4100,0.4983,4.9998,2.7390,106.2339
2017-05-19,0.4064,0.5082,5.0971,2.7840,105.9783
2017-05-26,0.4214,0.5170,4.9914,2.7880,106.3793
2017-06-02,0.4232,0.5194,4.9276,2.7710,107.0426
