日期,pe_percentile
2016-03-21,52.46031746031746
2016-03-28,63.17460317460317
2016-04-04,65.07936507936508
2016-04-11,65.95238095238095
2016-04-18,63.49206349206349
2016-04-25,69.28571428571428
2016-05-02,64.12698412698413
2016-05-09,62.61904761904762
2016-05-16,60.71428571428571
2016-05-23,57.14285714285714
2016-05-30,57.698412698412696
2016-06-06,56.98412698412698
2016-06-13,67.77777777777779
2016-06-20,66.5079365079365
2016-06-27,63.8095238095238
2016-07-04,61.26984126984127
2016-07-11,68.01587301587301
2016-07-18,71.5079365079365
2016-07-25,75.31746031746032
2016-08-01,74.04761904761905
2016-08-08,74.60317460317461
2016-08-15,75.31746031746032
2016-08-22,78.57142857142857
2016-08-29,80.0
2016-09-05,80.23809523809524
2016-09-12,81.19047619047619
2016-09-19,81.19047619047619
2016-09-26,78.25396825396825
2016-10-03,79.44444444444444
2016-10-10,78.65079365079364
2016-10-17,78.80952380952381
2016-10-24,81.11111111111111
2016-10-31,83.25396825396825
2016-11-07,80.63492063492063
2016-11-14,79.84126984126985
2016-11-21,83.57142857142857
2016-11-28,82.85714285714286
2016-12-05,86.66666666666667
2016-12-12,86.74603174603175
2016-12-19,86.19047619047619
2016-12-26,82.61904761904762
2017-01-02,80.87301587301587
2017-01-09,79.52380952380952
2017-01-16,84.28571428571429
2017-01-23,83.73015873015873
2017-01-30,85.79365079365078
2017-02-06,86.26984126984128
2017-02-13,86.03174603174604
2017-02-20,87.38095238095238
2017-02-27,87.22222222222223
2017-03-06,88.73015873015872
2017-03-13,86.42857142857143
2017-03-20,85.63492063492063
2017-03-27,86.03174603174604
2017-04-03,87.6984126984127
2017-04-10,83.4920634920635
2017-04-17,89.60317460317461
2017-04-24,89.36507936507937
2017-05-01,87.85714285714286
2017-05-08,86.90476190476191
2017-05-15,75.23809523809524
2017-05-22,78.33333333333333
2017-05-29,77.6984126984127
2017-06-05,83.01587301587303
2017-06-12,83.65079365079366
2017-06-19,87.85714285714286
2017-06-26,86.19047619047619
2017-07-03,90.63492063492065
2017-07-10,91.03174603174602
2017-07-17,90.95238095238096
2017-07-24,91.42857142857144
2017-07-31,91.58730158730158
2017-08-07,91.74603174603176
2017-08-14,91.03174603174602
2017-08-21,89.76190476190476
2017-08-28,90.47619047619048
2017-09-04,92.6984126984127
2017-09-11,91.26984126984128
2017-09-18,91.03174603174602
2017-09-25,90.0
2017-10-02,91.03174603174602
2017-10-09,90.31746031746032
2017-10-16,90.63492063492065
2017-10-23,92.3015873015873
2017-10-30,92.46031746031748
2017-11-06,92.53968253968254
2017-11-13,89.68253968253968
2017-11-20,91.66666666666666
2017-11-27,91.82539682539682
2017-12-04,91.74603174603176
2017-12-11,86.26984126984128
2017-12-18,85.23809523809524
2017-12-25,84.52380952380952
2018-01-01,89.84126984126985
2018-01-08,90.0
2018-01-15,93.25396825396824
2018-01-22,93.96825396825396
2018-01-29,94.6031746031746
2018-02-05,95.47619047619048
2018-02-12,94.76190476190476
2018-02-19,80.95238095238095
2018-02-26,86.74603174603175
2018-03-05,91.42857142857144
2018-03-12,88.4920634920635
2018-03-19,90.63492063492065
2018-03-26,88.09523809523809
2018-04-02,78.33333333333333
2018-04-09,76.5079365079365
2018-04-16,74.28571428571429
